,Unnamed: 0,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,0,25.44,69,1018,very heavy rain,1435390925,1.29,14.5002,Faenza,2015-06-27 09:42:05,37
1,1,26.379999999999995,73,1017,very heavy rain,1435394243,2.1,100.0,Faenza,2015-06-27 10:37:23,37
2,2,27.70000000000005,69,1017,very heavy rain,1435399019,3.1,120.0,Faenza,2015-06-27 11:56:59,37
3,3,29.04000000000002,61,1016,very heavy rain,1435402422,3.1,110.0,Faenza,2015-06-27 12:53:42,37
4,4,29.11000000000001,69,1016,very heavy rain,1435406058,3.6,110.0,Faenza,2015-06-27 13:54:18,37
5,5,29.330000000000037,65,1015,very heavy rain,1435409704,5.7,110.0,Faenza,2015-06-27 14:55:04,37
6,6,29.20000000000005,65,1014,very heavy rain,1435416898,5.1,110.0,Faenza,2015-06-27 16:54:58,37
7,7,28.879999999999995,65,1014,very heavy rain,1435420542,6.2,120.0,Faenza,2015-06-27 17:55:42,37
8,8,27.530000000000033,65,1014,very heavy rain,1435424296,6.7,120.0,Faenza,2015-06-27 18:58:16,37
9,9,26.120000000000005,73,1013,very heavy rain,1435427936,6.2,120.0,Faenza,2015-06-27 19:58:56,37
10,10,22.320000000000054,94,1015,very heavy rain,1435438357,2.6,90.0,Faenza,2015-06-27 22:52:37,37
11,11,21.379999999999995,83,1016,very heavy rain,1435442241,5.7,90.0,Faenza,2015-06-27 23:57:21,37
12,12,21.160000000000025,83,1016,very heavy rain,1435445863,2.1,210.0,Faenza,2015-06-28 00:57:43,37
13,13,20.0,94,1016,very heavy rain,1435453232,1.39,218.50400000000002,Faenza,2015-06-28 03:00:32,37
14,14,19.480000000000018,93,1016,very heavy rain,1435456487,2.1,330.0,Faenza,2015-06-28 03:54:47,37
15,15,19.160000000000025,93,1016,very heavy rain,1435460042,1.5,320.0,Faenza,2015-06-28 04:54:02,37
16,16,18.620000000000005,93,1016,very heavy rain,1435463880,0.5,300.0,Faenza,2015-06-28 05:58:00,37
17,17,19.340000000000032,88,1016,very heavy rain,1435467179,0.5,270.0,Faenza,2015-06-28 06:52:59,37
18,18,21.05000000000001,88,1016,very heavy rain,1435470851,2.1,260.0,Faenza,2015-06-28 07:54:11,37
