,Unnamed: 0,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,0,25.26000000000005,49,1023,Sky is Clear,1435390801,1.54,225.0,Bologna,2015-06-27 09:40:01,71
1,1,26.52000000000004,57,1016,Sky is Clear,1435394204,0.51,256.0,Bologna,2015-06-27 10:36:44,71
2,2,28.49000000000001,53,1016,Sky is Clear,1435398653,0.51,325.0,Bologna,2015-06-27 11:50:53,71
3,3,30.0,42,1022,light rain,1435402084,1.54,22.0,Bologna,2015-06-27 12:48:04,71
4,4,29.86000000000001,44,1015,light rain,1435405722,2.06,28.0,Bologna,2015-06-27 13:48:42,71
5,5,30.570000000000054,42,1014,light rain,1435409381,2.06,291.0,Bologna,2015-06-27 14:49:41,71
6,6,30.960000000000036,40,1013,light rain,1435416585,1.03,282.0,Bologna,2015-06-27 16:49:45,71
7,7,30.400000000000034,46,1013,light rain,1435420195,2.06,188.0,Bologna,2015-06-27 17:49:55,71
8,8,28.320000000000054,49,1012,light rain,1435423928,3.6,197.0,Bologna,2015-06-27 18:52:08,71
9,9,27.210000000000036,51,1012,light rain,1435427557,3.6,205.0,Bologna,2015-06-27 19:52:37,71
10,10,21.480000000000015,89,1016,heavy intensity rain,1435438071,4.11,102.0,Bologna,2015-06-27 22:47:51,71
11,11,19.640000000000047,83,1016,light rain,1435441858,1.03,75.0,Bologna,2015-06-27 23:50:58,71
12,12,20.129999999999995,86,1016,Sky is Clear,1435445496,1.03,71.0,Bologna,2015-06-28 00:51:36,71
13,13,19.56,89,1015,Sky is Clear,1435452847,0.51,4.0,Bologna,2015-06-28 02:54:07,71
14,14,19.140000000000047,88,1015,Sky is Clear,1435456185,1.54,216.0,Bologna,2015-06-28 03:49:45,71
15,15,18.730000000000018,89,1016,Sky is Clear,1435459690,1.69,248.003,Bologna,2015-06-28 04:48:10,71
16,16,18.44,91,1016,Sky is Clear,1435463462,1.03,207.0,Bologna,2015-06-28 05:51:02,71
17,17,19.02000000000004,92,1016,Sky is Clear,1435466850,1.56,5.5005500000000005,Bologna,2015-06-28 06:47:30,71
18,18,21.260000000000048,84,1016,Sky is Clear,1435470542,1.54,211.0,Bologna,2015-06-28 07:49:02,71
19,19,22.650000000000034,80,1016,Sky is Clear,1435474159,1.56,5.5005500000000005,Bologna,2015-06-28 08:49:19,71
