,Unnamed: 0,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,0,22.68000000000001,60,1018,Sky is Clear,1435390925,2.1,80.0,Asti,2015-06-27 09:42:05,315
1,1,24.050000000000008,60,1018,Sky is Clear,1435394243,2.6,50.0,Asti,2015-06-27 10:37:23,315
2,2,26.56,57,1018,Sky is Clear,1435399017,2.1,100.0,Asti,2015-06-27 11:56:57,315
3,3,27.20000000000005,57,1017,Sky is Clear,1435402420,2.1,70.0,Asti,2015-06-27 12:53:40,315
4,4,28.56,29,1017,Sky is Clear,1435406056,2.06,154.505,Asti,2015-06-27 13:54:16,315
5,5,29.530000000000033,45,1016,Sky is Clear,1435409702,1.5,50.0,Asti,2015-06-27 14:55:02,315
6,6,30.51000000000005,48,1015,Sky is Clear,1435416896,1.0,0.0,Asti,2015-06-27 16:54:56,315
7,7,31.44,45,1015,Sky is Clear,1435420540,1.5,140.0,Asti,2015-06-27 17:55:40,315
8,8,30.460000000000036,48,1014,Sky is Clear,1435424294,2.1,50.0,Asti,2015-06-27 18:58:14,315
9,9,28.820000000000054,54,1014,Sky is Clear,1435427934,2.1,100.0,Asti,2015-06-27 19:58:54,315
10,10,22.81,73,1015,Sky is Clear,1435438355,2.6,10.0,Asti,2015-06-27 22:52:35,315
11,11,21.870000000000005,73,1016,Sky is Clear,1435442239,3.1,340.0,Asti,2015-06-27 23:57:19,315
12,12,21.590000000000032,73,1016,Sky is Clear,1435445861,2.6,320.0,Asti,2015-06-28 00:57:41,315
13,13,20.129999999999995,77,1017,broken clouds,1435453229,2.1,340.0,Asti,2015-06-28 03:00:29,315
14,14,19.81,73,1017,broken clouds,1435456485,1.5,360.0,Asti,2015-06-28 03:54:45,315
15,15,18.44,77,1018,few clouds,1435460039,2.6,30.0,Asti,2015-06-28 04:53:59,315
16,16,18.010000000000048,77,1018,Sky is Clear,1435463877,2.1,360.0,Asti,2015-06-28 05:57:57,315
17,17,18.580000000000037,84,1016,Sky is Clear,1435467179,0.88,321.501,Asti,2015-06-28 06:52:59,315
18,18,20.080000000000037,73,1018,Sky is Clear,1435470849,1.0,0.0,Asti,2015-06-28 07:54:09,315
19,19,20.980000000000018,68,1018,Sky is Clear,1435474468,1.0,0.0,Asti,2015-06-28 08:54:28,315
