,id,pop
1,1001,55395
2,1003,200111
3,1005,26887
4,1007,22506
5,1009,57719
6,1011,10764
7,1013,20296
8,1015,115916
9,1017,34076
10,1019,26037
11,1021,43931
12,1023,13323
13,1025,24945
14,1027,13552
15,1029,15080
16,1031,50909
17,1033,54543
18,1035,12670
19,1037,10886
20,1039,37914
21,1041,13977
22,1043,81289
23,1045,49484
24,1047,41711
25,1049,71065
26,1051,80977
27,1053,37733
28,1055,103531
29,1057,16874
30,1059,31601
31,1061,26712
32,1063,8553
33,1065,15184
34,1067,17190
35,1069,104193
36,1071,52665
37,1073,660793
38,1075,14086
39,1077,93096
40,1079,33477
41,1081,154255
42,1083,90787
43,1085,10580
44,1087,19425
45,1089,350299
46,1091,20110
47,1093,30271
48,1095,94636
49,1097,415123
50,1099,21947
51,1101,226189
52,1103,119607
53,1105,9826
54,1107,20365
55,1109,33389
56,1111,22539
57,1113,59608
58,1115,86697
59,1117,206655
60,1119,13166
61,1121,81322
62,1123,41165
63,1125,202212
64,1127,65471
65,1129,16834
66,1131,11098
67,1133,24150
69,2013,3360
70,2016,5750
71,2020,301010
72,2050,17868
73,2060,957
74,2068,1921
75,2070,4988
76,2090,99357
77,2100,2566
78,2105,2082
79,2110,32406
80,2122,57477
81,2130,13787
82,2150,13986
83,2164,1631
84,2170,97882
85,2180,9817
86,2185,9703
87,2188,7717
88,2195,3160
89,2198,6396
90,2220,8900
91,2230,1036
92,2240,6931
93,2261,9488
94,2270,8010
95,2275,2364
96,2282,635
97,2290,5547
99,4001,71828
100,4003,127448
101,4005,137682
102,4007,53119
103,4009,37957
104,4011,9346
105,4012,20231
106,4013,4087191
107,4015,203361
108,4017,108101
109,4019,1004516
110,4021,401918
111,4023,46695
112,4025,218844
113,4027,203247
115,5001,18594
116,5003,20948
117,5005,40857
118,5007,242321
119,5009,37196
120,5011,11148
121,5013,5202
122,5015,27744
123,5017,11180
124,5019,22576
125,5021,15118
126,5023,25634
127,5025,8449
128,5027,23933
129,5029,21083
130,5031,102518
131,5033,61697
132,5035,49548
133,5037,17227
134,5039,7755
135,5041,12264
136,5043,18622
137,5045,120768
138,5047,17805
139,5049,12125
140,5051,97322
141,5053,18144
142,5055,43694
143,5057,22327
144,5059,33368
145,5061,13500
146,5063,36959
147,5065,13486
148,5067,17534
149,5069,72297
150,5071,26005
151,5073,7111
152,5075,16931
153,5077,9860
154,5079,13970
155,5081,12532
156,5083,21958
157,5085,71557
158,5087,15740
159,5089,16367
160,5091,43428
161,5093,44235
162,5095,7582
163,5097,9082
164,5099,8723
165,5101,7904
166,5103,24828
167,5105,10245
168,5107,19930
169,5109,11024
170,5111,24246
171,5113,20225
172,5115,63201
173,5117,8304
174,5119,392702
175,5121,17571
176,5123,26899
177,5125,115719
178,5127,10693
179,5129,7929
180,5131,126776
181,5133,17426
182,5135,16906
183,5137,12494
184,5139,40227
185,5141,16851
186,5143,220792
187,5145,78592
188,5147,6910
189,5149,21951
191,6001,1610921
192,6003,1116
193,6005,36742
194,6007,224241
195,6009,44624
196,6011,21419
197,6013,1111339
198,6015,27212
199,6017,183087
200,6019,965974
201,6021,27955
202,6023,134809
203,6025,179091
204,6027,18410
205,6029,874589
206,6031,150269
207,6033,64184
208,6035,31749
209,6037,10116705
210,6039,154548
211,6041,260750
212,6043,17682
213,6045,87869
214,6047,266353
215,6049,9023
216,6051,13997
217,6053,431344
218,6055,141667
219,6057,98893
220,6059,3145515
221,6061,371694
222,6063,18606
223,6065,2329271
224,6067,1482026
225,6069,58267
226,6071,2112619
227,6073,3263431
228,6075,852469
229,6077,715597
230,6079,279083
231,6081,758581
232,6083,440668
233,6085,1894605
234,6087,271804
235,6089,179804
236,6091,3003
237,6093,43628
238,6095,431131
239,6097,500292
240,6099,531997
241,6101,95847
242,6103,63067
243,6105,13170
244,6107,458198
245,6109,53831
246,6111,846178
247,6113,207590
248,6115,73966
250,8001,480718
251,8003,16177
252,8005,618821
253,8007,12244
254,8009,3645
255,8011,5630
256,8013,313333
257,8014,62138
258,8015,18363
259,8017,1871
260,8019,9187
261,8021,8265
262,8023,3568
263,8025,5360
264,8027,4361
265,8029,29870
266,8031,663862
267,8033,1978
268,8035,314638
269,8037,52921
270,8039,24195
271,8041,663519
272,8043,46502
273,8045,57461
274,8047,5851
275,8049,14546
276,8051,15725
277,8053,786
278,8055,6462
279,8057,1396
280,8059,558503
281,8061,1402
282,8063,8072
283,8065,7357
284,8067,53989
285,8069,324122
286,8071,14052
287,8073,5510
288,8075,22524
289,8077,148255
290,8079,698
291,8081,12928
292,8083,25772
293,8085,40873
294,8087,28328
295,8089,18488
296,8091,4629
297,8093,16345
298,8095,4363
299,8097,17626
300,8099,12034
301,8101,161875
302,8103,6707
303,8105,11607
304,8107,23865
305,8109,6196
306,8111,720
307,8113,7840
308,8115,2348
309,8117,29404
310,8119,23389
311,8121,4780
312,8123,277670
313,8125,10202
315,9001,945438
316,9003,897985
317,9005,184993
318,9007,164943
319,9009,861277
320,9011,273676
321,9013,151367
322,9015,116998
324,10001,171987
325,10003,552778
326,10005,210849
328,11001,658893
330,12001,256380
331,12003,27093
332,12005,178985
333,12007,26702
334,12009,556885
335,12011,1869235
336,12013,14532
337,12015,168474
338,12017,139377
339,12019,199798
340,12021,348777
341,12023,67857
342,12027,35012
343,12029,15907
344,12031,897698
345,12033,310659
346,12035,102408
347,12037,11815
348,12039,46281
349,12041,16997
350,12043,13635
351,12045,15944
352,12047,14048
353,12049,27469
354,12051,38505
355,12053,175855
356,12055,98236
357,12057,1316298
358,12059,19650
359,12061,144755
360,12063,48801
361,12065,14050
362,12067,8835
363,12069,315690
364,12071,679513
365,12073,283988
366,12075,39613
367,12077,8360
368,12079,18518
369,12081,351746
370,12083,339167
371,12085,153392
372,12086,2662874
373,12087,77136
374,12089,76619
375,12091,196512
376,12093,39149
377,12095,1253001
378,12097,310211
379,12099,1397710
380,12101,485331
381,12103,938098
382,12105,634638
383,12107,72143
384,12109,217919
385,12111,291028
386,12113,163422
387,12115,396962
388,12117,442516
389,12119,114350
390,12121,44022
391,12123,22582
392,12125,15190
393,12127,507531
394,12129,31432
395,12131,61530
396,12133,24451
398,13001,18540
399,13003,8223
400,13005,11281
401,13007,3255
402,13009,45909
403,13011,18295
404,13013,73240
405,13015,101736
406,13017,17464
407,13019,18700
408,13021,153905
409,13023,12795
410,13025,18417
411,13027,15418
412,13029,33906
413,13031,72087
414,13033,22709
415,13035,23368
416,13037,6463
417,13039,52027
418,13043,10888
419,13045,114093
420,13047,65621
421,13049,12897
422,13051,283379
423,13053,11837
